rule_id,group,description,wn_min,wn_max,intensity,shape,condition_notes,truth_smarts_group,source_book,edition,table,page,frozen,source_quote,requires_wn_min,requires_wn_max,forbids_wn_min,forbids_wn_max,stratum,tier
SMITH-BR4-BZ-META-690,meta-disubstituted benzene,Ring bend at 690 present for a meta-disubstituted benzene ring,680.0,700.0,any,any,"Second half of the meta rule. Tolerance +-10 is in the column header of Table III, so it applies to every row",aromatic_meta,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table III,16-19,yes,Meta | Ring Bend (690 +- 10 cm-1) Yes,,,,,main,group
SMITH-BR4-BZ-PARA-OOP,para-disubstituted benzene,Out-of-plane C-H bending of a para-disubstituted benzene ring,790.0,860.0,any,any,Rule also requires ABSENCE of the ring bend at 690+-10,aromatic_para,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review IV: Hydrocarbons, 2025, 40(1), DOI 10.56530/spectroscopy.vt7783b7",Table III,16-19,yes,Para | 860-790 | Ring Bend No,,,680.0,700.0,main,group
SMITH-BZ16-ARCH-STR,aromatic ring,Aromatic C-H stretch,3000.0,3100.0,any,any,"Value stated in the article text, not in a numbered table. Alkenes share this window (SMITH-ALK16-CH-STR)",aromatics,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Group Wavenumbers and an Introduction to the Spectroscopy of Benzene Rings, 2016, 31(3)",,,yes,the C-H stretches fall between 3100 and 3000 cm-1,,,,,main,class
SMITH-BZ16-RING,aromatic ring,Benzene ring C=C stretches (ring modes),1400.0,1620.0,any,any,"Value stated in the article text, not in a numbered table. Source gives one wide window, not the individual 1600/1500/1450 bands",aromatics,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Group Wavenumbers and an Introduction to the Spectroscopy of Benzene Rings, 2016, 31(3)",,,yes,They fall between 1620 and 1400 cm-1,,,,,main,class
SMITH-BZ16-OOP,aromatic ring,"Aromatic C-H out-of-plane bend, any substitution",700.0,1000.0,any,any,"Value stated in the article text, not in a numbered table",aromatics,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","Group Wavenumbers and an Introduction to the Spectroscopy of Benzene Rings, 2016, 31(3)",,,yes,typically falls between 1000 cm-1 and 700 cm-1,,,,,main,class
SMITH-BR5-ROH-OH-STR,alcohol,O-H stretch of alcohols and phenols,3300.0,3400.0,any,broad,Text: OH stretch about 1000 cm-1 wide (hydrogen bonding). Same for all alcohol types,alcohols,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table I,10-13,yes,All | O-H Stretch 3350+-50,,,,,main,group
SMITH-BR5-ROH-OH-WAG,alcohol,O-H wag (out-of-plane bend) of alcohols and phenols,600.0,700.0,any,broad,"Text: OH wag about 500 cm-1 wide. Table I prints the bends column as 3350+-50, 650+-50; the 3350 entry looks like a typesetting repeat of the stretch and is not transcribed as a bend",alcohols,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table I,10-13,yes,"All | O-H Bends 3350+-50, 650+-50",,,,,main,group
SMITH-BR5-ROH-PRIM-CO,primary alcohol,C-O stretch of a primary alcohol,1000.0,1075.0,any,any,Needs alcohol_primary truth group,alcohol_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table I,10-13,yes,1 degree | C-O Stretch 1075-1000,,,,,main,group
SMITH-BR5-ROH-SEC-CO,secondary alcohol,C-O stretch of a secondary alcohol,1075.0,1150.0,any,any,Needs alcohol_secondary truth group,alcohol_secondary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table I,10-13,yes,2 degree | C-O Stretch 1150-1075,,,,,main,group
SMITH-BR5-ROH-TERT-CO,tertiary alcohol,C-O stretch of a tertiary alcohol,1100.0,1210.0,any,any,Needs alcohol_tertiary truth group,alcohol_tertiary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table I,10-13,yes,3 degree | C-O Stretch 1210-1100,,,,,main,group
SMITH-BR5-PHENOL-CO,phenol,C-O stretch of a phenol,1200.0,1260.0,any,any,Needs phenol truth group,phenol,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table I,10-13,yes,Phenols | C-O Stretch 1260-1200,,,,,main,group
SMITH-BR5-CO-GENERAL,C-O bond,"C-O stretch, alcohols and ethers, biggest peak in the window",1000.0,1300.0,strong,any,"Value stated in the article text, not in a numbered table. Intensity criterion: the biggest peak between 1300 and 1000",c_o_single_any,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",,10-13,yes,a large peak generally found between 1300 and 1000 cm-1 ... it will be the biggest peak between 1300 and 1000,,,,,main,class
SMITH-BR5-ETHER-SAT-CO,saturated ether,"C-O stretch of a saturated ether, one band",1070.0,1140.0,any,any,Saturated ethers only; truth group ether does not split saturated/mixed/aryl,ether_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table II,10-13,yes,Saturated | 1140-1070 (1 band),,,,,main,group
SMITH-BR5-ETHER-MIX-CO-AR,mixed ether,Aromatic C-O stretch of a mixed (alkyl aryl) ether,1200.0,1300.0,any,any,Mixed ethers show two bands; needs a mixed ether truth group,ether_mixed,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table II,10-13,yes,Mixed | 1300-1200 and 1050-1010,,,,,main,group
SMITH-BR5-ETHER-MIX-CO-SAT,mixed ether,Saturated C-O stretch of a mixed (alkyl aryl) ether,1010.0,1050.0,any,any,Second band of the mixed ether pair,ether_mixed,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table II,10-13,yes,Mixed | 1300-1200 and 1050-1010,,,,,main,group
SMITH-BR5-ETHER-ARYL-CO,aryl ether,"C-O stretch of a diaryl ether, one band",1200.0,1300.0,any,any,Needs an aryl ether truth group,ether_aryl,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review V: The C-O Bond, 2025, 40(3), DOI 10.56530/spectroscopy.mq4273p5",Table II,10-13,yes,Aryl | 1300-1200 (1 band),,,,,main,group
SMITH-BR6-CO-GENERAL,carbonyl,"Carbonyl C=O stretch, any carbonyl group",1600.0,1900.0,strong,any,"Value stated in the article text, not in a numbered table. Umbrella rule over ketone, aldehyde, acid, ester, amide, carbonate",carbonyl_any,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",,12-18,yes,Carbonyl stretching peaks generally fall between 1900 and 1600 cm-1,,,,,main,class
SMITH-BR6-KET-SAT-CO,saturated ketone,C=O stretch of a saturated ketone,1705.0,1725.0,strong,any,Saturated only; text: 1700 is the dividing line between saturated and aromatic,ketone_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table I,12-18,yes,Saturated C=O stretch 1715+-10,,,,,main,group
SMITH-BR6-KET-AR-CO,aromatic ketone,C=O stretch of an aromatic ketone,1640.0,1700.0,strong,any,Aromatic only,ketone_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table I,12-18,yes,Aromatic C=O stretch 1700-1640,,,,,main,group
SMITH-BR6-KET-SAT-CCC,saturated ketone,C-C-C asymmetric stretch of a saturated ketone,1100.0,1230.0,strong,any,Text: second biggest peak in the spectrum,ketone_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table I,12-18,yes,Saturated C-C-C stretch 1230-1100,,,,,main,group
SMITH-BR6-KET-AR-CCC,aromatic ketone,C-C-C asymmetric stretch of an aromatic ketone,1230.0,1300.0,strong,any,,ketone_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table I,12-18,yes,Aromatic C-C-C stretch 1300-1230,,,,,main,group
SMITH-BR6-ACID-SAT-CO,saturated carboxylic acid,C=O stretch of a saturated carboxylic acid,1700.0,1730.0,strong,any,Saturated only,carboxylic_acid_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table II,12-18,yes,Saturated C=O stretch 1730-1700,,,,,main,group
SMITH-BR6-ACID-AR-CO,aromatic carboxylic acid,C=O stretch of an aromatic carboxylic acid,1680.0,1710.0,strong,any,Aromatic only,carboxylic_acid_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table II,12-18,yes,Aromatic C=O stretch 1710-1680,,,,,main,group
SMITH-BR6-ACID-CO,carboxylic acid,C-O stretch of a carboxylic acid,1210.0,1320.0,any,any,,carboxylic_acids,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table II,12-18,yes,C-O stretch 1320-1210,,,,,main,group
SMITH-BR6-ACID-OH-STR,carboxylic acid,O-H stretch envelope of a carboxylic acid dimer,2500.0,3500.0,strong,broad,"Text: over 1000 cm-1 wide, often no obvious peak top",carboxylic_acids,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table II,12-18,yes,O-H stretch 3500-2500 (broad and intense),,,,,main,group
SMITH-BR6-ACID-OH-IPB,carboxylic acid,O-H in-plane bend of a carboxylic acid,1395.0,1440.0,any,any,,carboxylic_acids,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table II,12-18,yes,O-H in-plane bend 1440-1395,,,,,main,group
SMITH-BR6-ACID-OH-OOP,carboxylic acid,O-H out-of-plane bend (wag) of a carboxylic acid,900.0,960.0,any,broad,Text: broadened peak,carboxylic_acids,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VI: Carbonyl Compounds, 2025, 40(4), DOI 10.56530/spectroscopy.zd9677w3",Table II,12-18,yes,O-H out-of-plane bend 960-900,,,,,main,group
SMITH-BR7-EST-SAT-CO,saturated ester,C=O stretch of a saturated ester,1735.0,1755.0,strong,any,"Rule of 3, first peak; saturated only",ester_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table I,27-30,yes,Saturated ester C=O 1755-1735,,,,,main,group
SMITH-BR7-EST-SAT-CCO,saturated ester,C-C-O stretch of a saturated ester,1160.0,1210.0,strong,any,"Rule of 3, second peak; acetates typically higher (ethyl acetate 1241)",ester_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table I,27-30,yes,C-C-O 1210-1160,,,,,main,group
SMITH-BR7-EST-SAT-OCC,saturated ester,O-C-C asymmetric stretch of a saturated ester,1030.0,1100.0,strong,any,"Rule of 3, third peak, a little less intense than the other two",ester_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table I,27-30,yes,O-C-C 1100-1030,,,,,main,group
SMITH-BR7-EST-AR-CO,aromatic ester,C=O stretch of an aromatic ester,1715.0,1730.0,strong,any,Aromatic only,ester_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table II,27-30,yes,Aromatic ester C=O 1730-1715,,,,,main,group
SMITH-BR7-EST-AR-CCO,aromatic ester,C-C-O stretch of an aromatic ester,1250.0,1310.0,strong,any,,ester_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table II,27-30,yes,C-C-O 1310-1250,,,,,main,group
SMITH-BR7-EST-AR-OCC,aromatic ester,O-C-C stretch of an aromatic ester,1100.0,1130.0,strong,any,,ester_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table II,27-30,yes,O-C-C 1130-1100,,,,,main,group
SMITH-BR7-CARB-SAT-CO,saturated organic carbonate,C=O stretch of a saturated organic carbonate,1730.0,1750.0,strong,any,Needs an organic carbonate truth group,carbonate_organic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table III,27-30,yes,Saturated | C=O 1740+-10 | O-C-O 1280-1240 | O-C-C 1060-1000,,,,,main,group
SMITH-BR7-CARB-SAT-OCO,saturated organic carbonate,O-C-O asymmetric stretch of a saturated organic carbonate,1240.0,1280.0,strong,any,,carbonate_organic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table III,27-30,yes,Saturated | O-C-O 1280-1240,,,,,main,group
SMITH-BR7-CARB-MIX-CO,mixed organic carbonate,C=O stretch of a mixed organic carbonate,1760.0,1790.0,strong,any,,carbonate_organic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table III,27-30,yes,Mixed | C=O 1790-1760 | O-C-O 1250-1210,,,,,main,group
SMITH-BR7-CARB-MIX-OCO,mixed organic carbonate,O-C-O stretch of a mixed organic carbonate,1210.0,1250.0,strong,any,,carbonate_organic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table III,27-30,yes,Mixed | O-C-O 1250-1210,,,,,main,group
SMITH-BR7-CARB-AR-CO,aromatic organic carbonate,C=O stretch of an aromatic organic carbonate,1775.0,1820.0,strong,any,,carbonate_organic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table III,27-30,yes,Aromatic | C=O 1820-1775 | O-C-O 1230-1205,,,,,main,group
SMITH-BR7-CARB-AR-OCO,aromatic organic carbonate,O-C-O stretch of an aromatic organic carbonate,1205.0,1230.0,strong,any,,carbonate_organic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table III,27-30,yes,Aromatic | O-C-O 1230-1205,,,,,main,group
SMITH-BR7-CARB-OCC,organic carbonate,O-C-C stretch of any organic carbonate,1000.0,1060.0,strong,any,Same for all three carbonate types,carbonate_organic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VII: More Carbonyl Compounds, 2025, 40(8), DOI 10.56530/spectroscopy.dg4483d4",Table III,27-30,yes,O-C-C 1060-1000,,,,,main,group
SMITH-BR8-AMD1-NH-STR,primary amide,"N-H stretches of a primary amide, two bands",3170.0,3370.0,any,any,Two bands required; needs amide_primary truth group. Text: N-H envelopes about 400 cm-1 wide vs O-H over 1000,amide_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 1,20-26,yes,NH2 stretches 3370-3170 (2 bands),,,,,main,group
SMITH-BR8-AMD-CO,amide,C=O stretch of any amide (amide I),1630.0,1680.0,strong,any,Same window for all amides; no saturated/aromatic split,amides,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 1,20-26,yes,C=O stretch 1680-1630,,,,,main,group
SMITH-BR8-AMD1-SCIS,primary amide,NH2 scissors of a primary amide,1620.0,1650.0,any,any,Needs amide_primary truth group,amide_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 1,20-26,yes,NH2 scissors 1650-1620,,,,,main,group
SMITH-BR8-AMD1-CN,primary amide,C-N stretch of a primary amide,1390.0,1430.0,any,any,,amide_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 1,20-26,yes,C-N stretch 1430-1390,,,,,main,group
SMITH-BR8-AMD1-WAG,primary amide,NH2 wag of a primary amide,600.0,750.0,any,broad,,amide_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 1,20-26,yes,NH2 wag 750-600 (broad),,,,,main,group
SMITH-BR8-AMD2-NH-STR,secondary amide,"N-H stretch of a secondary amide, one band",3170.0,3370.0,any,any,One band; needs amide_secondary truth group,amide_secondary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 2,20-26,yes,N-H stretch 3370-3170 (1 band),,,,,main,group
SMITH-BR8-AMD2-NH-IPB,secondary amide,N-H in-plane bend of a secondary amide (amide II),1515.0,1570.0,strong,any,Text: unusually intense for an in-plane bend,amide_secondary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 2,20-26,yes,NH in-plane bend 1570-1515 (strong),,,,,main,group
SMITH-BR8-AMD2-CN,secondary amide,C-N stretch of a secondary amide,1230.0,1310.0,any,any,,amide_secondary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 2,20-26,yes,C-N stretch 1310-1230,,,,,main,group
SMITH-BR8-AMD2-WAG,secondary amide,N-H out-of-plane bend of a secondary amide,680.0,750.0,any,broad,,amide_secondary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 2,20-26,yes,N-H out-of-plane bend 750-680 (broad),,,,,main,group
SMITH-BR8-AMN1-SAT-ASYM,primary saturated amine,NH2 asymmetric stretch of a saturated primary amine,3350.0,3380.0,any,any,Needs amine_primary truth group and a saturated/aromatic split,amine_primary_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 3,20-26,yes,NH2 asymmetric stretch | Saturated 3380-3350 | Aromatic 3500-3420,,,,,main,group
SMITH-BR8-AMN1-AR-ASYM,primary aromatic amine,NH2 asymmetric stretch of an aromatic primary amine,3420.0,3500.0,any,any,,amine_primary_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 3,20-26,yes,NH2 asymmetric stretch | Aromatic 3500-3420,,,,,main,group
SMITH-BR8-AMN1-SAT-SYM,primary saturated amine,NH2 symmetric stretch of a saturated primary amine,3280.0,3310.0,any,any,,amine_primary_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 3,20-26,yes,NH2 symmetric stretch | Saturated 3310-3280 | Aromatic 3420-3340,,,,,main,group
SMITH-BR8-AMN1-AR-SYM,primary aromatic amine,NH2 symmetric stretch of an aromatic primary amine,3340.0,3420.0,any,any,,amine_primary_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 3,20-26,yes,NH2 symmetric stretch | Aromatic 3420-3340,,,,,main,group
SMITH-BR8-AMN1-SCIS,primary amine,NH2 scissors of a primary amine,1580.0,1650.0,any,broad,Text: somewhat broadened by hydrogen bonding,amine_primary,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 3,20-26,yes,NH2 scissors 1650-1580 (same for saturated and aromatic),,,,,main,group
SMITH-BR8-AMN1-SAT-CN,primary saturated amine,C-N stretch of a saturated primary amine,1020.0,1250.0,any,any,,amine_primary_saturated,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 3,20-26,yes,C-N stretch | Saturated 1250-1020 | Aromatic 1350-1250,,,,,main,group
SMITH-BR8-AMN1-AR-CN,primary aromatic amine,C-N stretch of an aromatic primary amine,1250.0,1350.0,any,any,,amine_primary_aromatic,"Smith, B. C., Spectroscopy, column IR Spectral Interpretation Workshop","The Big Review VIII: Organic Nitrogen Compounds, 2026, 41(1), DOI 10.56530/spectroscopy.it4477g2",Table 3,20-26,yes,C-N stretch | Aromatic 1350-1250,,,,,main,group
